metric,value,step
loss,0.7349310517311096,132.0
loss,0.7708142399787903,133.0
loss,0.7859441637992859,134.0
loss,0.7263787388801575,135.0
loss,0.830077052116394,136.0
loss,0.7453265190124512,137.0
loss,0.7605888843536377,138.0
loss,0.7599935531616211,139.0
loss,0.74614417552948,140.0
loss,0.7848723530769348,141.0
loss,0.8162083625793457,142.0
loss,0.7582953572273254,143.0
loss,0.8007860779762268,144.0
loss,0.7880895137786865,145.0
loss,0.7629423141479492,146.0
loss,0.8203819990158081,147.0
loss,0.7778018712997437,148.0
loss,0.7653030157089233,149.0
loss,0.8171731233596802,150.0
loss,0.8499501943588257,151.0
loss,0.8105061054229736,152.0
loss,0.7749151587486267,153.0
loss,0.7916856408119202,154.0
loss,0.8125384449958801,155.0
loss,0.8703868985176086,156.0
loss,0.7987558245658875,157.0
loss,0.7686458826065063,158.0
loss,0.7605738639831543,159.0
loss,0.8129678964614868,160.0
loss,0.758250892162323,161.0
loss,0.8220160007476807,162.0
loss,0.826797604560852,163.0
loss,0.7333921194076538,164.0
loss,0.7700838446617126,165.0
loss,0.786371648311615,166.0
loss,0.7260266542434692,167.0
loss,0.8307738304138184,168.0
loss,0.7468451857566833,169.0
loss,0.760003924369812,170.0
loss,0.7585345506668091,171.0
loss,0.7453393340110779,172.0
loss,0.7846952676773071,173.0
loss,0.8134398460388184,174.0
loss,0.7580206394195557,175.0
loss,0.7999050617218018,176.0
loss,0.7898461818695068,177.0
loss,0.7603281140327454,178.0
loss,0.8238459229469299,179.0
loss,0.7765957117080688,180.0
loss,0.7636997699737549,181.0
loss,0.816688597202301,182.0
loss,0.8498316407203674,183.0
loss,0.8099070191383362,184.0
loss,0.7749371528625488,185.0
loss,0.7912937998771667,186.0
loss,0.8119556307792664,187.0
loss,0.8709737062454224,188.0
loss,0.7984604835510254,189.0
loss,0.7687488794326782,190.0
loss,0.7592564821243286,191.0
loss,0.8129150867462158,192.0
loss,0.7585906982421875,193.0
loss,0.8206026554107666,194.0
loss,0.8257896900177002,195.0
loss,0.7354360818862915,196.0
loss,0.7671273946762085,197.0
loss,0.7877843976020813,198.0
loss,0.7251027822494507,199.0
loss,0.8276219367980957,200.0
loss,0.7497169971466064,201.0
loss,0.7603746056556702,202.0
loss,0.7616691589355469,203.0
loss,0.7482532858848572,204.0
loss,0.7836946845054626,205.0
loss,0.8163295388221741,206.0
loss,0.7577778697013855,207.0
loss,0.8034079074859619,208.0
loss,0.7856419086456299,209.0
loss,0.7619309425354004,210.0
loss,0.8204725980758667,211.0
loss,0.7768413424491882,212.0
loss,0.7651307582855225,213.0
loss,0.8174425363540649,214.0
loss,0.8471570611000061,215.0
loss,0.8098109364509583,216.0
loss,0.7742793560028076,217.0
loss,0.7885783910751343,218.0
loss,0.8110343217849731,219.0
loss,0.87070631980896,220.0
loss,0.797674298286438,221.0
loss,0.7671715021133423,222.0
loss,0.7658146619796753,223.0
loss,0.811198353767395,224.0
loss,0.7564116716384888,225.0
loss,0.8214787244796753,226.0
loss,0.8267846703529358,227.0
loss,0.7388039231300354,228.0
loss,0.7682370543479919,229.0
loss,0.7870268225669861,230.0
loss,0.7285250425338745,231.0
loss,0.8278154134750366,232.0
loss,0.7487608194351196,233.0
loss,0.7634971141815186,234.0
loss,0.761600136756897,235.0
loss,0.7473536729812622,236.0
loss,0.7841776609420776,237.0
loss,0.8176085948944092,238.0
loss,0.7590067386627197,239.0
loss,0.8026998043060303,240.0
loss,0.7843726873397827,241.0
loss,0.761694073677063,242.0
loss,0.8193621039390564,243.0
loss,0.7770718336105347,244.0
loss,0.7659963965415955,245.0
loss,0.8166424036026001,246.0
loss,0.8482223749160767,247.0
loss,0.8091993927955627,248.0
loss,0.7745342254638672,249.0
loss,0.7919614315032959,250.0
loss,0.8129982948303223,251.0
loss,0.8692536950111389,252.0
loss,0.79798424243927,253.0
loss,0.7669153809547424,254.0
loss,0.7617126107215881,255.0
loss,0.8134016394615173,256.0
loss,0.7572923898696899,257.0
loss,0.818988561630249,258.0
loss,0.8246850967407227,259.0
loss,0.7378954887390137,260.0
loss,0.7676264643669128,261.0
loss,0.7880672216415405,262.0
loss,0.7239430546760559,263.0
loss,0.8266284465789795,264.0
loss,0.7502129077911377,265.0
loss,0.760241687297821,266.0
loss,0.7619460225105286,267.0
loss,0.7482719421386719,268.0
loss,0.7828682661056519,269.0
loss,0.814903736114502,270.0
loss,0.757924497127533,271.0
loss,0.8019289374351501,272.0
loss,0.7850953340530396,273.0
loss,0.7607477307319641,274.0
loss,0.8207666873931885,275.0
loss,0.7776547074317932,276.0
loss,0.7646602988243103,277.0
loss,0.8164861798286438,278.0
loss,0.847943902015686,279.0
loss,0.8092940449714661,280.0
loss,0.7740107774734497,281.0
loss,0.7916820049285889,282.0
loss,0.8140719532966614,283.0
loss,0.868289589881897,284.0
loss,0.7954803705215454,285.0
loss,0.766799807548523,286.0
loss,0.7568516731262207,287.0
loss,0.8127889633178711,288.0
loss,0.7574831247329712,289.0
loss,0.8223916888237,290.0
loss,0.8289251327514648,291.0
loss,0.7325408458709717,292.0
loss,0.7715953588485718,293.0
loss,0.785351037979126,294.0
loss,0.7224859595298767,295.0
loss,0.8271197080612183,296.0
loss,0.7457939386367798,297.0
loss,0.7599804401397705,298.0
loss,0.7596240043640137,299.0
loss,0.7469939589500427,300.0
loss,0.7817138433456421,301.0
loss,0.8132858276367188,302.0
loss,0.7551032900810242,303.0
loss,0.8050520420074463,304.0
loss,0.7904118299484253,305.0
loss,0.756423830986023,306.0
loss,0.8208248615264893,307.0
loss,0.7765843272209167,308.0
loss,0.7644072771072388,309.0
loss,0.819689154624939,310.0
loss,0.8450074195861816,311.0
loss,0.8121508359909058,312.0
loss,0.7711606025695801,313.0
loss,0.785598874092102,314.0
loss,0.81050044298172,315.0
loss,0.8737715482711792,316.0
loss,0.8031970262527466,317.0
loss,0.7713019847869873,318.0
loss,0.7584996223449707,319.0
loss,0.8117229342460632,320.0
loss,0.7571358680725098,321.0
loss,0.8190560340881348,322.0
loss,0.8195998668670654,323.0
loss,0.7394722700119019,324.0
loss,0.7670380473136902,325.0
loss,0.785904586315155,326.0
loss,0.7243903875350952,327.0
loss,0.8207402229309082,328.0
loss,0.7514196634292603,329.0
loss,0.7606269717216492,330.0
loss,0.7629104256629944,331.0
loss,0.7521750926971436,332.0
loss,0.7843737602233887,333.0
loss,0.8133137226104736,334.0
loss,0.7565643191337585,335.0
loss,0.8055889010429382,336.0
loss,0.7788205146789551,337.0
loss,0.7585979700088501,338.0
loss,0.8178366422653198,339.0
loss,0.7781556248664856,340.0
loss,0.763724684715271,341.0
loss,0.8163130283355713,342.0
loss,0.8477687835693359,343.0
loss,0.8078362941741943,344.0
loss,0.7734169960021973,345.0
loss,0.7921472191810608,346.0
loss,0.815596342086792,347.0
loss,0.8673887252807617,348.0
loss,0.7986553907394409,349.0
loss,0.7671158313751221,350.0
loss,0.7567324638366699,351.0
loss,0.8096226453781128,352.0
loss,0.7539252042770386,353.0
loss,0.8169553279876709,354.0
loss,0.821764349937439,355.0
loss,0.7346625924110413,356.0
loss,0.7672596573829651,357.0
loss,0.7854015231132507,358.0
loss,0.7166396975517273,359.0
loss,0.8149404525756836,360.0
loss,0.7497353553771973,361.0
loss,0.7651083469390869,362.0
loss,0.7648047208786011,363.0
